request|status_code|response_size|response_time|city_id|change_latitude|current_latitude|type|newSearch|listType
POST|200|81|32.996||||||
GET|200|134|3.288|427|25.2048493|0|||
POST|200|13131|7.608|427|25.2048493|0|City|0.0|search
POST|200|12812|10.561|427|25.2048493|0|||
GET|200|2882|885.282|427|25.2048493|0|||
GET|200|13961|120.902|427|25.2048493|0|||
GET|200|14119|172.632|427|25.2048493|0|||
GET|200|132|4.307|427|25.2048493|0|||
POST|200|81|6.378||||||
POST|200|81|6.342||||||
GET|200|132|3.013|427|25.2048493|0|||
GET|200|13961|38.687|427|25.2048493|0|||
POST|200|12812|5.886|427|25.2048493|0|||
POST|200|13131|5.598|427|25.2048493|0|City|0.0|search
GET|200|2827|888.607|427|25.2048493|0|||
POST|200|81|7.131||||||
GET|200|132|3.149|427|25.2048493|0|||
GET|200|132|4.930|427|25.2048493|0|||
POST|200|81|5.616||||||
GET|200|132|2.678|427|25.2048493|0|||
POST|200|81|9.193||||||
GET|200|132|2.950|427|25.2048493|0|||
POST|200|81|6.618||||||
POST|200|13131|6.075|427|25.2048493|0|City|0.0|search
POST|200|12812|5.018|427|25.2048493|0|||
GET|200|2827|897.478|427|25.2048493|0|||
POST|200|13131|7.221|491|34.0522342|0|City|0.0|search
POST|200|12806|7.069|491|34.0522342|0|||
POST|200|13131|7.333|491|34.0522342|0|City|0.0|search
GET|200|2930|2006.555|491|34.0522342|0|||
POST|200|13131|6.138||34.0522342|0|||
POST|200|12812|10.419|427|25.2048493|0|||
POST|200|13131|13.826|427|25.2048493|0|City|0.0|search
GET|200|2937|1022.521|427|25.2048493|0|||
GET|200|132|3.254|427|25.2048493|0|||
POST|200|81|5.865||||||
POST|200|12812|9.076|427|25.2048493|0|||
POST|200|13131|5.768|427|25.2048493|0|City|0.0|search
GET|200|2827|1007.537|427|25.2048493|0|||
GET|200|132|2.729|427|25.2048493|0|||
POST|200|81|5.977||||||
POST|200|12812|13.067|427|25.2048493|0|||
POST|200|13131|6.470|427|25.2048493|0|City|0.0|search
GET|200|2827|976.916|427|25.2048493|0|||
GET|200|132|2.535|427|25.2048493|0|||
POST|200|81|9.418||||||
POST|200|12812|4.835|427|25.2048493|0|||
POST|200|13131|5.847|427|25.2048493|0|City|0.0|search
GET|200|2827|957.293|427|25.2048493|0|||
GET|200|132|3.044|427|25.2048493|0|||
POST|200|81|7.200||||||
POST|200|12812|5.348|427|25.2048493|0|||
POST|200|13131|5.880|427|25.2048493|0|City|0.0|search
GET|200|2827|898.977|427|25.2048493|0|||
GET|200|132|3.115|427|25.2048493|0|||
POST|200|81|6.249||||||
POST|200|12812|7.054|427|25.2048493|0|||
POST|200|13131|6.823|427|25.2048493|0|City|0.0|search
GET|200|2827|901.119|427|25.2048493|0|||
GET|200|132|3.181|427|25.2048493|0|||
POST|200|81|6.110||||||
POST|200|12812|4.923|427|25.2048493|0|||
POST|200|13131|6.608|427|25.2048493|0|City|0.0|search
GET|200|2827|906.379|427|25.2048493|0|||
GET|200|132|2.670|427|25.2048493|0|||
POST|200|81|7.134||||||
POST|200|12812|10.086|427|25.2048493|0|||
POST|200|13131|5.471|427|25.2048493|0|City|0.0|search
GET|200|2827|941.270|427|25.2048493|0|||
GET|200|132|3.593|427|25.2048493|0|||
POST|200|81|6.558||||||
POST|200|12812|5.407|427|25.2048493|0|||
POST|200|13131|5.484|427|25.2048493|0|City|0.0|search
GET|200|2827|896.042|427|25.2048493|0|||
GET|200|132|8.888|427|25.2048493|0|||
POST|200|81|5.965||||||
POST|200|12812|4.635|427|25.2048493|0|||
POST|200|13131|4.890|427|25.2048493|0|City|0.0|search
GET|200|2827|900.235|427|25.2048493|0|||
GET|200|132|3.405|427|25.2048493|0|||
POST|200|81|5.956||||||
POST|200|12812|6.081|427|25.2048493|0|||
POST|200|13131|4.866|427|25.2048493|0|City|0.0|search
GET|200|2827|923.036|427|25.2048493|0|||
GET|200|132|2.808|427|25.2048493|0|||
POST|200|81|6.033||||||
POST|200|12812|4.958|427|25.2048493|0|||
POST|200|13131|5.350|427|25.2048493|0|City|0.0|search
GET|200|2827|905.213|427|25.2048493|0|||
GET|200|132|3.132|427|25.2048493|0|||
POST|200|81|5.833||||||
POST|200|12812|6.375|427|25.2048493|0|||
POST|200|13131|5.708|427|25.2048493|0|City|0.0|search
GET|200|2827|926.993|427|25.2048493|0|||
GET|200|132|2.786|427|25.2048493|0|||
POST|200|81|6.192||||||
POST|200|12812|5.892|427|25.2048493|0|||
POST|200|13131|5.386|427|25.2048493|0|City|0.0|search
GET|200|2827|940.682|427|25.2048493|0|||
GET|200|132|3.069|427|25.2048493|0|||
POST|200|81|6.575||||||
POST|200|12812|6.260|427|25.2048493|0|||
POST|200|13131|6.166|427|25.2048493|0|City|0.0|search
GET|200|2827|949.123|427|25.2048493|0|||
GET|200|132|3.594|427|25.2048493|0|||
POST|200|81|6.174||||||
POST|200|12812|6.006|427|25.2048493|0|||
POST|200|13131|8.396|427|25.2048493|0|City|0.0|search
GET|200|2827|920.038|427|25.2048493|0|||
GET|200|132|2.596|427|25.2048493|0|||
POST|200|81|5.968||||||
POST|200|12812|5.704|427|25.2048493|0|||
POST|200|13131|5.153|427|25.2048493|0|City|0.0|search
GET|200|2827|911.757|427|25.2048493|0|||
POST|200|81|6.754||||||
GET|200|134|2.934|427|25.2048493|0|||
POST|200|12812|5.182|427|25.2048493|0|||
POST|200|13131|6.266|427|25.2048493|0|City|0.0|search
GET|200|2882|915.692|427|25.2048493|0|||
POST|200|81|9.470||||||
GET|200|132|2.695|427|25.2048493|0|||
POST|200|12812|5.800|427|25.2048493|0|||
POST|200|13131|5.104|427|25.2048493|0|City|0.0|search
GET|200|2827|899.727|427|25.2048493|0|||
GET|200|132|2.902|427|25.2048493|0|||
POST|200|81|5.956||||||
GET|200|132|2.676|427|25.2048493|0|||
POST|200|81|8.219||||||
GET|200|132|4.177|427|25.2048493|0|||
POST|200|81|6.000||||||
GET|200|132|2.720|427|25.2048493|0|||
POST|200|81|6.119||||||
POST|200|12812|6.524|427|25.2048493|0|||
POST|200|13131|7.192|427|25.2048493|0|City|0.0|search
GET|200|2827|890.889|427|25.2048493|0|||
GET|200|132|2.673|427|25.2048493|0|||
POST|200|81|6.961||||||
POST|200|12812|4.969|427|25.2048493|0|||
POST|200|13131|5.337|427|25.2048493|0|City|0.0|search
GET|200|2827|903.836|427|25.2048493|0|||
GET|200|132|2.845|427|25.2048493|0|||
POST|200|81|5.990||||||
POST|200|12812|4.741|427|25.2048493|0|||
POST|200|13131|5.356|427|25.2048493|0|City|0.0|search
GET|200|2827|902.738|427|25.2048493|0|||
GET|200|132|2.946|427|25.2048493|0|||
POST|200|81|6.965||||||
POST|200|12812|5.405|427|25.2048493|0|||
POST|200|13131|5.795|427|25.2048493|0|City|0.0|search
GET|200|2827|1036.794|427|25.2048493|0|||
GET|200|132|2.572|427|25.2048493|0|||
POST|200|81|5.803||||||
POST|200|12812|5.150|427|25.2048493|0|||
POST|200|13131|5.938|427|25.2048493|0|City|0.0|search
GET|200|2827|918.796|427|25.2048493|0|||
GET|200|132|2.688|427|25.2048493|0|||
POST|200|81|5.839||||||
POST|200|12812|5.411|427|25.2048493|0|||
POST|200|13131|5.016|427|25.2048493|0|City|0.0|search
GET|200|2827|915.780|427|25.2048493|0|||
GET|200|132|2.632|427|25.2048493|0|||
POST|200|81|6.224||||||
POST|200|12812|5.710|427|25.2048493|0|||
POST|200|13131|5.408|427|25.2048493|0|City|0.0|search
GET|200|2827|934.012|427|25.2048493|0|||
POST|200|81|6.546||||||
GET|200|132|3.409|427|25.2048493|0|||
POST|200|81|7.170||||||
GET|200|132|2.530|427|25.2048493|0|||
POST|200|12812|5.953|427|25.2048493|0|||
POST|200|13131|5.071|427|25.2048493|0|City|0.0|search
GET|200|2827|910.411|427|25.2048493|0|||
GET|200|132|2.777|427|25.2048493|0|||
POST|200|81|5.494||||||
POST|200|12812|5.592|427|25.2048493|0|||
POST|200|13131|5.916|427|25.2048493|0|City|0.0|search
GET|200|2827|921.355|427|25.2048493|0|||
GET|200|132|2.610|427|25.2048493|0|||
POST|200|81|6.563||||||
POST|200|12812|7.179|427|25.2048493|0|||
POST|200|13131|4.980|427|25.2048493|0|City|0.0|search
GET|200|2827|932.841|427|25.2048493|0|||
GET|200|132|2.779|427|25.2048493|0|||
POST|200|81|6.208||||||
POST|200|12812|5.806|427|25.2048493|0|||
POST|200|13131|5.277|427|25.2048493|0|City|0.0|search
GET|200|2827|955.448|427|25.2048493|0|||
GET|200|132|2.789|427|25.2048493|0|||
POST|200|81|5.917||||||
POST|200|12812|5.025|427|25.2048493|0|||
POST|200|13131|5.216|427|25.2048493|0|City|0.0|search
GET|200|2827|934.585|427|25.2048493|0|||
POST|200|81|5.681||||||
GET|200|132|2.697|427|25.2048493|0|||
POST|200|12812|5.016|427|25.2048493|0|||
POST|200|13131|5.167|427|25.2048493|0|City|0.0|search
GET|200|2827|934.260|427|25.2048493|0|||
GET|200|13961|46.152|427|25.2048493|0|||
GET|200|14092|50.860|427|25.2048493|0|||
GET|200|132|2.555|427|25.2048493|0|||
POST|200|81|5.707||||||
POST|200|12812|5.220|427|25.2048493|0|||
POST|200|13131|4.951|427|25.2048493|0|City|0.0|search
GET|200|2827|917.821|427|25.2048493|0|||
POST|200|81|6.639||||||
GET|200|134|2.968|427|25.2048493|0|||
POST|200|81|6.194||||||
GET|200|146|3.408|466|19.1179837|19.1179837|||
POST|200|12820|5.144|466|19.1181855|19.1181855|||
POST|200|13131|4.773|466|19.1181855|19.1181855|City|1.0|search
GET|200|2840|610.292|466|19.1181855|19.1181855|||
GET|200|157|2.866||25.0861437|25.0861437|||
POST|200|13131|5.581||25.0861437|25.0861437|City|0.0|search
GET|500|72|2.676||25.0861437|25.0861437|||
POST|200|13131|5.128||25.0861437|25.0861437|||
POST|200|81|8.262||||||
POST|200|13131|7.221|427|25.0861437|25.0861437|City|0.0|search
POST|200|12812|8.102|427|25.0861437|25.0861437|||
POST|200|82|7.421||||||
GET|200|2679|896.583|427|25.0861437|25.0861437|||
GET|200|13961|40.373|427|25.0861437|25.0861437|||
GET|200|14092|36.700|427|25.0861437|25.0861437|||
GET|200|13961|40.551|427|25.0861437|25.0861437|||
POST|200|113|2.978||||EMAIL||
POST|200|802|9.778||||EMAIL||
GET|200|134|2.819|424|0|0|||
POST|200|81|6.831||||||
POST|200|82|6.989||||||
GET|200|13961|45.549|427|25.0858026|25.0858026|||
GET|200|13749|38.190|427|25.0858026|25.0858026|||
POST|200|12812|5.562|427|25.0858026|25.0858026|||
POST|200|13131|14.030|427|25.0858026|25.0858026|City|0.0|search
GET|200|2908|940.731|427|25.0858026|25.0858026|||
POST|200|254|4.345||||||
POST|200|10366|103.994|427|25.0858026|25.0858026|||
POST|200|81|7.717||||||
GET|200|134|2.718|427|25.2048493|0|||
POST|200|12812|6.148|427|25.2048493|0|||
POST|200|13131|6.923|427|25.2048493|0|City|0.0|search
GET|200|2882|897.954|427|25.2048493|0|||
GET|200|134|3.057|427|25.2048493|0|||
POST|200|81|6.483||||||
GET|200|14801|45.295|466|19.1181855|19.1181855|||
GET|200|14932|40.703|466|19.1181855|19.1181855|||
POST|200|81|6.890||||||
GET|200|134|3.369|427|25.2048493|0|||
POST|200|12812|4.980|427|25.2048493|0|||
POST|200|82|6.169||||||
POST|200|13131|5.891|427|25.2048493|0|City|0.0|search
GET|200|2882|987.906|427|25.2048493|0|||
GET|200|134|3.800|427|25.2048493|0|||
POST|200|81|7.354||||||
GET|200|134|3.963|466|19.1181855|19.1181855|||
POST|200|81|5.760||||||
POST|200|81|7.028||||||
GET|200|134|2.875|466|19.1181855|19.1181855|||
POST|200|81|6.083||||||
GET|200|134|3.033|466|19.1181855|19.1181855|||
GET|200|134|3.289|466|19.1181855|19.1181855|||
POST|200|12820|6.074|466|19.1181855|19.1181855|||
GET|200|2818|758.094|466|19.1181855|19.1181855|||
POST|200|12820|9.411|466|19.1181855|19.1181855|||
GET|200|3224|791.319|466|19.1181855|19.1181855|||
POST|200|81|6.951||||||
GET|200|134|2.881|466|19.1181855|19.1181855|||
GET|200|134|3.092|466|19.1181855|19.1181855|||
POST|200|81|5.870||||||
POST|200|81|9.425||||||
GET|200|134|2.700|466|19.1181855|19.1181855|||
POST|200|12820|8.060|466|19.1180589|19.1180589|||
POST|200|13131|5.665|466|19.1180589|19.1180589|City|1.0|search
GET|200|2840|602.911|466|19.1180589|19.1180589|||
GET|200|132|2.715|427|25.2048493|0|||
POST|200|81|6.128||||||
POST|200|12812|5.031|427|25.2048493|0|||
POST|200|13131|5.208|427|25.2048493|0|City|0.0|search
GET|200|2827|889.536|427|25.2048493|0|||
GET|200|132|3.002|427|25.2048493|0|||
POST|200|81|5.748||||||
GET|200|13961|39.037|427|25.2048493|0|||
GET|200|14092|49.859|427|25.2048493|0|||
GET|200|132|3.058|427|25.2048493|0|||
POST|200|81|6.713||||||
POST|200|12812|5.413|427|25.2048493|0|||
POST|200|13131|6.599|427|25.2048493|0|City|0.0|search
GET|200|2827|893.520|427|25.2048493|0|||
GET|200|134|3.464|427|25.0858026|25.0858026|||
POST|200|81|6.623||||||
GET|200|134|2.656|427|25.0858026|25.0858026|||
POST|200|81|6.004||||||
GET|200|134|3.374|427|25.0865288|25.0865288|||
POST|200|81|6.646||||||
POST|200|12812|5.510|427|25.0857185|25.0857185|||
POST|200|13131|6.296|427|25.0857185|25.0857185|City|1.0|search
GET|200|2908|1052.920|427|25.0857185|25.0857185|||
GET|200|134|2.504|427|25.0857185|25.0857185|||
POST|200|81|5.868||||||
GET|200|134|3.114|427|25.0857185|25.0857185|||
POST|200|81|8.124||||||
POST|200|2|30.414||||||
POST|200|2|14.459||||||
GET|200|134|2.876|427|25.0857185|25.0857185|||
POST|200|81|6.698||||||
POST|200|113|2.563||||EMAIL||
POST|200|802|6.987||||EMAIL||
GET|200|134|3.879||0|0|||
POST|200|81|5.999||||||
POST|200|82|6.977||||||
POST|200|65|2.473||||EMAIL||
POST|200|113|2.548||||EMAIL||
POST|200|183|2.724||||EMAIL||
POST|200|81|6.687||||||
GET|200|134|3.047|466|19.1181031|19.1181031|||
GET|200|134|5.579|466|19.1181031|19.1181031|||
POST|200|81|7.972||||||
GET|200|134|3.554|466|19.1181031|19.1181031|||
POST|200|81|18.776||||||
POST|200|1039|64.131|466|19.1181031|19.1181031|||
GET|200|2840|614.216|466|19.1181031|19.1181031|||
POST|200|12820|5.800|466|19.1181031|19.1181031|||
POST|200|13131|5.402|466|19.1181031|19.1181031|City|1.0|search
GET|200|134|3.329|466|19.1181031|19.1181031|||
POST|200|81|6.270||||||
POST|200|81|6.283||||||
GET|200|134|4.255|466|19.1181031|19.1181031|||
POST|200|81|6.402||||||
GET|200|134|2.805|427|25.2048493|0|||
POST|200|12812|5.233|427|25.2048493|0|||
POST|200|13131|8.607|427|25.2048493|0|City|0.0|search
GET|200|2882|1059.915|427|25.2048493|0|||
POST|200|12812|6.076|427|25.2048493|0|||
GET|200|2992|987.606|427|25.2048493|0|||
GET|200|134|2.928|427|25.2048493|0|||
POST|200|81|7.002||||||
GET|200|134|3.671|427|25.2048493|0|||
POST|200|81|5.806||||||
GET|200|134|3.388|427|25.2048493|0|||
POST|200|13131|4.919||25.2048493|0|||
POST|200|1700|262.842||25.2048493|0|||
POST|200|383|221.472||25.2048493|0|||
POST|200|12820|5.478|466|19.0759837|0|||
POST|200|13131|5.392|466|19.0759837|0|City|0.0|search
GET|200|2570|749.527|466|19.0759837|0|||
POST|200|13131|5.875|427|25.2048493|0|City|0.0|search
POST|200|12812|9.282|427|25.2048493|0|||
GET|200|3108|1187.534|427|25.2048493|0|||
GET|200|134|4.550|427|25.2048493|0|||
POST|200|81|8.502||||||
GET|200|134|3.294|427|25.2048493|0|||
POST|200|81|10.343||||||
GET|200|134|3.521|427|25.2048493|0|||
POST|200|81|13.442||||||
POST|200|1076|160.070||25.2048493|0|||
